ProductId,PurchaseCost,InboundTransportCost,OutboundTransportCost,StorageCost,Profit
SKU01,4687049692.607,93369397.760,121506886.110,175107104.228,-2153727468.705
SKU02,49248273497.539,241676968.568,349644608.408,1289865870.162,-42121987112.677
SKU03,888375330.000,16650969.300,25763714.601,79433844.450,-347144612.551
SKU04,62496055.351,1037668.536,11874760.049,20304490.912,10712749.052
SKU05,746869183.200,3365521.628,5965269.895,28240395.158,-460828492.681
SKU06,269377928.145,6450049.612,11345528.408,63645401.115,238469420.320
SKU07,229873000.000,2684916.640,4786419.500,56273056.640,167700319.620
SKU08,138927422.192,3812032.926,9336877.736,49796710.800,194430330.546
SKU09,1850589054.720,3355188.480,8310993.935,236095648.148,762683675.717
SKU10,210126495.180,3175135.740,8314442.067,46444054.005,161551626.808
SKU11,23770074.023,341956.030,7203347.991,11850203.640,19971878.225
SKU12,12237054.446,331375.304,4574703.685,6143860.357,18161103.608
SKU13,336061440.000,929260.800,1639205.800,28898139.400,56045808.600
SKU14,97198767.400,2027288.577,3674838.075,22364786.635,74674466.812
SKU15,116899644.725,1587983.293,2309072.789,11709447.599,39709513.894
SKU16,182815495.428,6544115.522,9851779.947,38190111.672,74083151.331
SKU17,108086900.350,1611904.644,2417135.898,16761870.803,58886208.304
SKU19,41781600.000,200088.000,378193.333,6562075.030,14022339.937
SKU20,13516605.000,202112.700,549690.140,4739764.050,14337437.890
